66 (3021)
44 (2612)
34 (3040)
56 (3021)
46 (2556)
58 (3195)
36 (3099)
25 (2860)
48 (3013)
17 (2500)
29 (3181)
3 (2839)
5 (2971)
7 (3076)
9 (2874)
60 (3149)
40 (3170)
62 (3060)
52 (3185)
42 (2714)
64 (2631)
31 (2526)
29 40 44 (2571)
7 34 60 (2885)
40 48 60 (2961)
7 34 62 (2803)
7 34 66 (2777)
40 48 62 (2862)
31 52 58 (2515)
36 58 62 (2963)
36 40 48 (2961)
36 58 64 (2550)
7 42 52 (2597)
36 58 60 (3051)
7 42 58 (2602)
5 9 66 (2555)
36 40 42 (2609)
29 40 56 (2981)
29 62 64 (2509)
7 34 58 (2929)
40 48 58 (2986)
42 58 60 (2687)
29 40 58 (3154)
52 56 60 (2969)
29 62 66 (2884)
40 48 56 (2813)
42 58 62 (2598)
29 40 52 (3144)
34 48 60 (2832)
52 56 66 (2841)
34 48 62 (2730)
7 34 52 (2921)
52 56 62 (2918)
36 58 66 (2923)
34 48 66 (2738)
40 62 64 (2524)
40 48 52 (2976)
7 34 56 (2790)
42 58 66 (2611)
34 48 58 (2856)
7 42 60 (2579)
48 58 66 (2872)
7 42 66 (2505)
7 34 48 (2747)
7 9 58 (2754)
7 9 56 (2651)
7 34 40 (2907)
7 34 42 (2500)
44 58 60 (2564)
25 40 52 (2824)
44 58 62 (2522)
25 40 58 (2833)
7 9 52 (2747)
25 40 56 (2672)
42 60 66 (2612)
5 56 58 (2802)
42 60 62 (2572)
7 34 36 (2833)
7 9 48 (2572)
25 29 36 (2782)
25 52 56 (2693)
25 29 34 (2708)
5 56 60 (2756)
25 52 58 (2849)
40 60 62 (2999)
25 40 48 (2723)
5 56 62 (2722)
48 56 66 (2698)
7 9 40 (2733)
5 56 66 (2664)
25 29 40 (2822)
3 34 58 (2706)
3 34 56 (2588)
40 60 66 (2997)
3 34 52 (2699)
42 48 52 (2558)
40 60 64 (2584)
5 34 48 (2706)
46 58 60 (2516)
25 62 66 (2600)
42 48 58 (2563)
5 34 40 (2870)
25 29 52 (2838)
25 29 58 (2847)
25 29 56 (2685)
7 9 66 (2601)
3 34 66 (2584)
25 40 62 (2723)
3 34 62 (2600)
36 60 64 (2504)
25 40 60 (2807)
42 48 60 (2550)
36 60 62 (2917)
3 34 60 (2672)
25 40 66 (2691)
5 34 36 (2792)
25 29 48 (2737)
7 9 62 (2631)
7 9 60 (2718)
31 40 58 (2513)
36 60 66 (2924)
5 40 66 (2812)
25 58 66 (2714)
34 40 48 (2834)
5 40 60 (2904)
5 40 62 (2846)
34 40 42 (2588)
5 29 34 (2885)
3 7 52 (2756)
5 29 36 (2867)
9 36 56 (2655)
3 7 56 (2630)
9 36 52 (2769)
3 7 58 (2765)
25 36 40 (2768)
5 52 58 (2959)
9 36 58 (2776)
29 31 60 (2501)
5 52 56 (2798)
52 58 60 (3137)
36 48 66 (2847)
5 40 56 (2783)
52 58 62 (3049)
5 40 58 (2949)
36 48 62 (2851)
36 48 60 (2960)
9 25 29 (2537)
52 58 64 (2629)
5 40 52 (2939)
52 58 66 (3009)
3 7 40 (2739)
29 31 58 (2517)
5 52 62 (2848)
9 36 66 (2618)
5 52 60 (2913)
9 36 60 (2738)
9 36 62 (2653)
29 31 52 (2506)
3 7 48 (2598)
36 48 58 (2986)
36 48 56 (2812)
5 52 66 (2821)
36 48 52 (2976)
48 56 60 (2811)
25 36 58 (2793)
7 9 36 (2658)
29 42 66 (2604)
9 25 52 (2536)
48 56 62 (2740)
25 36 56 (2631)
7 9 34 (2644)
29 42 62 (2586)
34 40 66 (2865)
5 29 52 (2953)
34 40 64 (2530)
29 42 60 (2678)
9 25 58 (2542)
34 40 62 (2901)
5 29 56 (2796)
5 29 58 (2963)
9 58 62 (2750)
9 58 60 (2834)
3 7 34 (2632)
3 29 60 (2805)
9 58 66 (2714)
7 62 66 (2777)
3 7 36 (2672)
3 29 62 (2724)
25 36 62 (2672)
25 36 60 (2766)
48 56 58 (2837)
3 29 66 (2703)
7 9 29 (2755)
25 36 48 (2730)
7 25 60 (2715)
9 25 40 (2521)
34 40 58 (3016)
34 40 56 (2861)
5 29 40 (2943)
34 40 52 (3008)
5 29 42 (2556)
34 62 66 (2766)
34 40 60 (2973)
5 29 48 (2781)
9 36 40 (2755)
25 58 62 (2738)
25 36 52 (2784)
7 25 62 (2621)
7 40 48 (2867)
7 40 42 (2586)
25 58 60 (2831)
3 7 29 (2765)
7 25 66 (2600)
9 36 48 (2665)
29 42 48 (2552)
25 60 66 (2715)
7 36 62 (2843)
25 48 66 (2621)
40 42 66 (2596)
25 60 62 (2711)
7 36 66 (2809)
25 48 62 (2627)
40 42 62 (2588)
25 48 60 (2731)
40 42 60 (2671)
40 62 66 (2877)
25 48 58 (2748)
40 42 58 (2696)
25 48 56 (2586)
7 36 60 (2934)
7 40 56 (2894)
31 58 60 (2509)
34 52 66 (2877)
7 40 58 (3049)
7 25 52 (2733)
7 40 52 (3039)
34 52 62 (2904)
7 25 58 (2742)
7 25 56 (2598)
34 52 64 (2530)
29 42 58 (2701)
34 52 60 (2986)
25 36 66 (2649)
29 42 56 (2558)
5 29 60 (2919)
7 36 52 (2968)
40 42 56 (2554)
5 29 62 (2852)
25 48 52 (2739)
42 52 60 (2682)
29 42 52 (2696)
7 36 56 (2822)
40 42 52 (2691)
42 52 62 (2592)
7 36 58 (2978)
5 29 66 (2828)
36 62 66 (2795)
3 5 60 (2605)
7 40 60 (3006)
7 25 48 (2632)
7 40 62 (2925)
42 52 56 (2565)
42 52 58 (2707)
40 42 48 (2547)
3 5 62 (2546)
34 52 56 (2879)
34 52 58 (3030)
7 25 40 (2717)
3 5 66 (2530)
7 40 64 (2517)
7 40 66 (2882)
7 36 48 (2867)
7 52 56 (2914)
5 42 60 (2536)
7 36 40 (2953)
7 36 42 (2515)
7 52 58 (3064)
9 34 52 (2745)
29 52 66 (3002)
29 52 64 (2615)
3 5 52 (2630)
3 5 58 (2639)
3 5 56 (2511)
29 31 40 (2504)
9 34 56 (2637)
29 52 62 (3034)
7 25 36 (2677)
42 62 66 (2502)
9 34 58 (2752)
29 52 60 (3125)
52 60 62 (3003)
7 25 34 (2603)
5 7 9 (2572)
52 60 64 (2583)
52 60 66 (3010)
5 42 58 (2561)
40 52 56 (2991)
7 52 62 (2929)
40 52 58 (3158)
7 52 60 (3020)
7 52 66 (2895)
7 52 64 (2517)
5 42 52 (2556)
7 25 29 (2737)
9 34 62 (2637)
3 5 40 (2618)
9 34 60 (2716)
40 52 64 (2629)
40 52 66 (2986)
40 52 60 (3113)
9 34 66 (2610)
40 52 62 (3034)
36 52 58 (3087)
7 29 52 (3058)
5 25 66 (2540)
34 42 66 (2507)
5 48 66 (2684)
36 52 56 (2919)
3 40 48 (2646)
5 25 62 (2550)
5 48 62 (2676)
5 25 60 (2621)
9 62 66 (2597)
29 34 58 (3035)
5 48 60 (2761)
29 34 56 (2880)
29 34 52 (3027)
7 29 56 (2912)
52 62 64 (2523)
7 29 58 (3068)
7 29 40 (3043)
52 62 66 (2881)
25 56 58 (2696)
7 58 66 (2905)
7 29 42 (2599)
7 58 64 (2517)
7 58 62 (2940)
29 46 58 (2540)
5 48 58 (2787)
36 52 60 (3041)
34 42 58 (2601)
3 9 60 (2545)
36 52 62 (2952)
29 46 52 (2530)
36 52 64 (2550)
5 48 56 (2620)
36 52 66 (2913)
34 42 52 (2597)
48 52 66 (2862)
29 46 60 (2504)
5 48 52 (2777)
34 42 60 (2578)
48 52 62 (2866)
29 34 48 (2853)
48 52 60 (2975)
7 58 60 (3030)
7 29 48 (2886)
25 56 60 (2669)
25 56 62 (2609)
29 34 42 (2598)
29 34 40 (3013)
58 62 66 (2892)
3 5 7 (2568)
25 34 36 (2646)
58 62 64 (2524)
42 52 66 (2606)
3 9 58 (2571)
3 9 52 (2565)
25 34 40 (2689)
40 56 58 (2995)
29 56 66 (2838)
29 56 60 (2961)
7 29 34 (2928)
29 56 62 (2908)
7 29 36 (2972)
44 52 62 (2511)
5 60 62 (2813)
44 52 60 (2554)
5 60 66 (2832)
40 56 62 (2909)
40 56 60 (2950)
3 9 40 (2549)
44 52 58 (2600)
29 34 66 (2882)
29 34 64 (2527)
40 56 66 (2823)
29 34 62 (2909)
29 34 60 (2991)
58 60 62 (3014)
58 60 64 (2583)
25 34 58 (2711)
3 29 48 (2672)
25 34 56 (2568)
3 52 62 (2715)
3 52 60 (2796)
58 60 66 (3020)
3 52 66 (2694)
29 44 60 (2552)
29 44 62 (2507)
5 7 29 (2856)
7 60 62 (2896)
7 48 52 (2882)
25 34 62 (2598)
25 34 60 (2684)
5 7 25 (2540)
3 29 40 (2813)
7 60 66 (2906)
7 48 56 (2736)
7 48 58 (2892)
25 34 48 (2601)
3 52 58 (2830)
7 48 60 (2868)
7 48 62 (2757)
9 25 60 (2520)
5 62 66 (2725)
3 52 56 (2700)
29 56 58 (3005)
5 7 34 (2783)
25 34 52 (2704)
3 29 52 (2830)
5 7 36 (2762)
36 44 58 (2524)
7 48 66 (2758)
3 29 58 (2839)
36 44 52 (2514)
3 29 56 (2704)
56 62 66 (2755)
3 9 29 (2571)
40 44 62 (2507)
9 48 56 (2569)
5 40 48 (2767)
9 48 52 (2683)
25 56 66 (2552)
9 48 58 (2690)
48 62 66 (2744)
40 44 60 (2540)
5 40 42 (2548)
9 60 66 (2715)
29 34 36 (2939)
9 60 62 (2711)
3 40 62 (2709)
3 40 60 (2780)
3 40 66 (2679)
48 52 58 (3001)
48 52 56 (2833)
9 48 66 (2567)
40 44 52 (2575)
25 34 66 (2585)
9 48 62 (2567)
29 44 58 (2596)
40 44 58 (2585)
29 44 52 (2586)
60 62 66 (2892)
3 40 58 (2813)
3 7 62 (2650)
3 7 60 (2731)
3 40 56 (2679)
3 7 66 (2630)
9 48 60 (2672)
3 29 36 (2746)
3 29 34 (2706)
3 62 66 (2591)
3 40 52 (2804)
7 29 56 58 (2911)
3 36 48 66 (2537)
9 34 36 58 (2655)
34 48 56 58 (2700)
3 36 48 62 (2531)
9 34 36 52 (2648)
5 40 58 62 (2846)
3 36 48 60 (2624)
9 34 36 56 (2540)
5 40 58 66 (2811)
5 48 62 66 (2577)
9 34 36 60 (2619)
5 7 29 66 (2721)
48 52 56 58 (2832)
5 7 29 62 (2744)
34 48 56 60 (2676)
34 48 56 62 (2608)
3 36 48 56 (2511)
5 7 29 60 (2811)
3 36 48 58 (2646)
34 48 56 66 (2582)
3 36 48 52 (2637)
9 34 36 62 (2540)
3 34 40 48 (2516)
9 34 36 66 (2513)
48 52 56 62 (2735)
48 52 56 60 (2806)
5 7 29 58 (2855)
7 36 40 48 (2841)
5 7 29 56 (2706)
48 52 56 66 (2693)
5 7 29 52 (2845)
9 29 62 66 (2593)
40 44 52 60 (2529)
36 48 62 66 (2718)
9 34 48 60 (2553)
29 48 60 66 (2865)
9 34 48 52 (2562)
9 34 48 58 (2569)
25 56 58 66 (2551)
40 56 60 62 (2863)
40 56 60 66 (2823)
25 56 58 62 (2609)
48 56 62 66 (2607)
25 56 58 60 (2668)
40 44 52 58 (2574)
29 36 44 58 (2509)
5 40 58 60 (2903)
7 29 56 62 (2814)
7 29 56 60 (2867)
7 29 56 66 (2745)
3 34 52 62 (2593)
3 34 52 60 (2665)
7 36 52 58 (2967)
56 58 62 66 (2755)
7 36 52 56 (2817)
52 56 62 66 (2750)
7 40 52 66 (2871)
7 25 58 66 (2599)
7 40 52 60 (2995)
7 25 58 60 (2714)
7 40 52 64 (2516)
3 34 52 66 (2577)
7 40 52 62 (2914)
29 60 62 66 (2884)
7 25 58 62 (2621)
9 58 60 62 (2711)
5 56 60 66 (2664)
7 36 52 66 (2798)
3 5 34 60 (2538)
7 36 52 62 (2832)
5 56 60 62 (2676)
7 36 52 60 (2923)
3 34 52 58 (2699)
9 58 60 66 (2714)
3 34 52 56 (2584)
7 36 40 52 (2942)
29 40 48 52 (2961)
3 34 40 58 (2683)
3 34 40 56 (2565)
3 34 40 52 (2676)
3 5 34 52 (2565)
29 40 48 58 (2971)
3 5 34 58 (2572)
7 36 40 58 (2952)
7 36 40 56 (2797)
29 40 48 56 (2798)
29 40 48 62 (2847)
7 36 40 62 (2828)
7 36 40 60 (2909)
29 40 48 60 (2948)
3 34 40 66 (2563)
3 5 34 40 (2553)
7 40 52 58 (3038)
3 34 40 60 (2650)
7 40 52 56 (2889)
3 34 40 62 (2588)
7 52 60 66 (2895)
29 40 48 66 (2841)
7 52 60 62 (2885)
7 36 40 66 (2785)
9 34 56 62 (2547)
34 52 56 66 (2725)
9 34 56 60 (2600)
34 52 56 60 (2834)
34 52 56 62 (2786)
7 48 60 66 (2758)
29 36 40 56 (2884)
29 36 40 58 (3057)
29 36 40 62 (2933)
7 25 34 58 (2602)
29 36 40 64 (2535)
7 25 34 52 (2595)
7 48 60 62 (2733)
29 36 40 60 (3014)
7 40 56 66 (2726)
7 40 56 62 (2807)
34 56 58 60 (2838)
34 52 56 58 (2878)
3 7 60 62 (2617)
3 40 48 62 (2542)
34 56 58 66 (2729)
7 60 62 66 (2777)
3 40 48 66 (2539)
29 36 40 66 (2892)
9 34 56 58 (2636)
34 56 58 62 (2791)
29 31 40 58 (2504)
3 7 60 66 (2630)
36 44 52 58 (2513)
7 25 34 40 (2580)
29 36 52 64 (2535)
29 36 52 66 (2905)
29 36 52 60 (3028)
29 36 52 62 (2937)
42 58 62 66 (2502)
7 58 62 66 (2777)
7 25 34 36 (2537)
29 36 52 56 (2904)
29 36 52 58 (3072)
29 31 52 58 (2506)
7 40 56 60 (2850)
25 58 60 62 (2711)
25 58 60 66 (2714)
7 40 56 58 (2893)
29 52 60 64 (2570)
29 52 60 62 (2990)
40 52 62 64 (2523)
40 52 62 66 (2866)
29 52 60 66 (3002)
34 40 48 62 (2718)
34 40 48 60 (2810)
34 40 48 66 (2717)
34 36 48 56 (2675)
34 36 48 52 (2822)
40 48 62 66 (2729)
36 52 62 66 (2784)
3 48 56 60 (2515)
34 36 48 58 (2830)
29 48 60 62 (2838)
3 5 58 60 (2605)
36 56 60 66 (2749)
36 56 60 62 (2780)
34 36 48 66 (2712)
34 36 48 62 (2704)
5 34 62 66 (2647)
34 36 48 60 (2806)
3 52 56 62 (2623)
3 40 48 58 (2646)
3 52 56 60 (2666)
3 34 60 62 (2567)
3 40 48 52 (2637)
3 52 56 66 (2564)
3 34 60 66 (2584)
3 40 48 56 (2512)
3 5 58 62 (2546)
29 36 40 42 (2597)
5 7 29 48 (2673)
3 5 58 66 (2530)
3 40 48 60 (2625)
3 48 56 58 (2537)
5 7 29 40 (2835)
5 7 62 66 (2616)
9 34 36 48 (2544)
3 52 56 58 (2700)
29 36 40 48 (2946)
5 36 62 66 (2628)
9 34 36 40 (2636)
25 34 56 58 (2567)
3 29 48 66 (2563)
29 36 40 52 (3047)
3 29 48 62 (2557)
5 7 29 36 (2759)
3 29 48 60 (2650)
7 25 34 60 (2575)
5 7 29 34 (2781)
25 34 56 60 (2540)
7 56 62 66 (2658)
3 7 40 66 (2606)
5 25 36 52 (2573)
29 36 48 60 (2947)
3 7 40 60 (2706)
5 25 36 58 (2582)
7 36 56 60 (2777)
29 36 48 62 (2836)
3 7 40 62 (2635)
7 36 56 62 (2724)
3 34 56 62 (2516)
29 36 48 66 (2839)
3 34 56 60 (2554)
7 36 56 66 (2652)
25 34 60 66 (2585)
25 34 60 62 (2571)
5 9 34 40 (2606)
5 7 58 62 (2747)
5 7 58 60 (2813)
5 9 34 58 (2621)
5 25 36 48 (2519)
3 7 52 58 (2756)
5 25 36 40 (2562)
7 36 56 58 (2821)
5 7 58 66 (2722)
7 34 58 66 (2776)
7 34 58 60 (2884)
3 7 52 56 (2626)
7 34 58 62 (2803)
5 9 34 56 (2508)
3 34 56 58 (2588)
5 9 34 52 (2614)
9 52 62 66 (2589)
3 5 29 66 (2530)
7 29 40 52 (3032)
9 36 62 66 (2500)
5 9 34 60 (2585)
7 29 40 56 (2887)
5 40 42 58 (2547)
7 29 40 58 (3042)
5 9 34 62 (2520)
3 7 40 48 (2572)
5 40 42 52 (2542)
3 7 40 56 (2605)
3 7 40 52 (2730)
3 5 29 56 (2511)
3 5 29 58 (2639)
3 5 29 60 (2605)
7 29 40 42 (2582)
3 5 29 62 (2546)
34 40 48 52 (2825)
5 29 34 36 (2788)
34 40 48 58 (2833)
7 29 40 48 (2860)
34 40 48 56 (2678)
5 42 52 58 (2555)
3 7 40 58 (2739)
5 29 42 60 (2532)
7 29 52 56 (2907)
7 29 52 58 (3057)
25 40 48 60 (2706)
25 40 48 66 (2597)
5 42 52 60 (2530)
25 40 48 62 (2612)
3 5 29 52 (2630)
9 48 56 60 (2550)
3 5 29 34 (2572)
3 5 29 36 (2546)
7 29 40 60 (2999)
7 29 40 62 (2918)
25 40 48 56 (2561)
7 29 40 64 (2510)
7 29 40 66 (2878)
25 40 48 52 (2713)
3 5 29 40 (2618)
5 40 42 60 (2522)
25 40 48 58 (2722)
29 52 56 60 (2956)
3 36 56 62 (2534)
29 52 56 66 (2833)
3 36 56 60 (2577)
29 52 56 62 (2903)
36 52 58 60 (3040)
7 29 52 64 (2510)
36 52 58 62 (2952)
7 29 52 66 (2891)
29 36 48 52 (2961)
36 52 58 64 (2549)
34 48 60 66 (2738)
36 52 58 66 (2912)
29 36 48 56 (2797)
3 36 56 58 (2611)
34 48 60 62 (2706)
29 36 48 58 (2971)
52 58 62 64 (2523)
52 58 62 66 (2881)
5 9 58 62 (2580)
5 9 58 60 (2643)
5 9 58 66 (2554)
7 29 52 60 (3013)
7 29 52 62 (2922)
3 36 40 60 (2687)
25 48 56 58 (2585)
25 34 40 62 (2586)
25 34 40 60 (2662)
42 48 58 60 (2549)
25 34 40 56 (2545)
3 36 40 62 (2616)
36 42 60 66 (2524)
25 48 56 60 (2568)
25 34 40 58 (2688)
3 36 40 66 (2586)
3 9 52 60 (2539)
9 34 40 48 (2550)
5 7 34 36 (2686)
34 40 56 58 (2860)
25 34 40 66 (2564)
3 36 40 52 (2711)
25 29 48 66 (2613)
3 36 40 58 (2720)
29 52 56 58 (3000)
3 36 40 56 (2586)
29 34 58 62 (2909)
29 34 58 60 (2990)
29 34 58 66 (2881)
46 52 58 60 (2505)
29 34 58 64 (2526)
3 36 52 66 (2601)
25 34 52 66 (2577)
3 36 52 60 (2703)
34 40 56 66 (2709)
3 36 52 62 (2622)
34 40 56 62 (2779)
9 34 40 58 (2732)
34 40 56 60 (2817)
9 34 40 56 (2617)
9 34 40 52 (2725)
25 36 62 66 (2534)
25 34 52 56 (2564)
5 29 58 60 (2918)
5 29 58 62 (2852)
9 56 60 62 (2618)
3 36 52 56 (2607)
25 34 52 58 (2703)
5 29 58 66 (2827)
3 36 52 58 (2737)
9 56 60 66 (2593)
9 34 40 60 (2696)
25 34 52 60 (2676)
29 56 62 66 (2747)
25 34 52 62 (2590)
9 34 40 66 (2591)
9 34 40 62 (2627)
9 34 52 60 (2708)
7 9 48 58 (2571)
7 52 56 58 (2913)
5 7 34 66 (2648)
9 34 52 62 (2629)
7 9 48 52 (2564)
5 7 34 60 (2738)
5 7 34 62 (2672)
9 34 52 66 (2602)
5 29 34 40 (2866)
7 25 29 62 (2615)
7 9 36 66 (2504)
7 52 56 60 (2869)
7 25 29 66 (2596)
7 9 36 62 (2534)
5 29 34 48 (2702)
7 9 36 60 (2621)
29 58 62 66 (2884)
42 52 60 62 (2566)
42 52 60 66 (2606)
29 36 56 58 (2908)
3 58 60 66 (2703)
3 58 60 62 (2691)
29 58 62 64 (2509)
9 34 52 56 (2632)
3 9 40 58 (2549)
7 29 60 66 (2902)
7 52 56 62 (2816)
9 34 52 58 (2744)
5 29 34 52 (2876)
7 29 60 62 (2889)
7 52 56 66 (2744)
7 25 29 60 (2709)
5 29 34 56 (2732)
7 25 29 52 (2727)
3 9 40 52 (2543)
5 29 34 58 (2884)
7 25 29 56 (2592)
7 25 29 58 (2736)
5 25 48 60 (2520)
40 52 58 64 (2628)
